"island","accu","n","ptest","ntest","pvalue"
"Abaco",0.60897385620915,86,0.2,17,0.00800819029475752
"Bimini",0.536384615384615,67,0.2,13,0.10353924518432
"Cayman Brac",0.7626,50,0.2,10,0.00340395264949445
"Eleuthera",0.405984848484849,56,0.2,11,0.288997273450863
"Little Cayman",0.688888888888889,45,0.2,9,0.00828125793832246
"Long Island",0.617072727272727,53,0.2,10,0.0196616369455875
"North Andros",0.52,28,0.2,5,0.209876543209877
"Ragged Island",0.3558,50,0.2,10,0.440735660214398
"South Andros",0.593809523809524,31,0.2,6,0.100137174211248
