"island","chisq","df","pvalue","signif"
"Abaco",47.1387367865071,20,0.000561135753890416,"***"
"Bimini",36.0456960339948,20,0.0151919683261544,"*"
"Cayman Brac",36.90758678542,20,0.0120041645607992,"*"
"Eleuthera",44.5833596506047,20,0.00125634957537506,"**"
"Little Cayman",32.7867150804264,20,0.0356037095713128,"*"
"Long Island",56.2150587897705,20,2.69786842552005e-05,"***"
"North Andros",33.6868887429827,20,0.0283224423313003,"*"
"Ragged Island",29.2815578304924,20,0.0823616151404282,""
"South Andros",46.5291484989319,20,0.000681575006972436,"***"
