"nesting","variable","best_fit","df_model","AICc","dAICc","AICcw","df_LRT","loglik","lratio","pvalue","signif"
"Abaco","PC1",1,4,710.401826915055,0,0.746284590942021,2,-356.96465349335,0.143350912029518,0.930832943027674,""
"Abaco","PC2",1,4,620.064849987566,0,0.882022254869286,2,-310.163569061037,31.7398744067905,1.28166299248424e-07,"***"
"Abaco","PC3",1,4,517.798573870328,0,0.731672854115199,2,-257.182245289455,27.3744989642787,1.13684976794724e-06,"***"
"Abaco","PC4",1,4,440.59432955293,0,0.596372982992678,2,-217.184865703333,1.35835597866799,0.507033608144742,""
"Bimini","PC1",1,4,561.337489206875,0,0.595340876034874,2,-283.06234533318,7.39597608999907,0.0247733191665861,"*"
"Bimini","PC2",1,4,448.055318221509,0,0.655527404923169,2,-223.766208958028,8.09150701730152,0.0174965159114044,"*"
"Bimini","PC3",2,6,405.303355792369,-0.233615396395123,0.52916876710724,2,-199.181785790049,10.3870639779942,0.00555236126251844,"**"
"Bimini","PC4",1,4,274.153000174229,0,0.854485132438009,2,-132.739214355155,0.325220117909282,0.849922543491002,""
"Cayman Brac","PC1",2,6,402.806730454855,-4.05244840010835,0.883523072493099,2,-200.864731488308,13.8097823179699,0.00100286822550749,"**"
"Cayman Brac","PC2",1,4,332.144720652802,0,0.852533578929843,2,-165.912793875589,8.41029094888722,0.0149186156338915,"*"
"Cayman Brac","PC3",1,4,295.778057972931,0,0.799650666641541,2,-146.56882436502,27.1623859334857,1.26404587834047e-06,"***"
"Cayman Brac","PC4",1,4,279.23986539245,0,0.897104983561437,2,-137.771913417955,5.62775987102822,0.0599718534787099,""
"Little Cayman","PC1",1,4,367.169114168185,0,0.777381434427508,2,-185.989663312312,8.18101090769841,0.0167307747864853,"*"
"Little Cayman","PC2",2,6,287.607492654395,-3.61069210760724,0.858798461517695,2,-140.45685331088,29.7605753823432,3.44804691720436e-07,"***"
"Little Cayman","PC3",1,4,277.693677354248,0,0.668756514069396,2,-138.05639359056,21.3424401274859,2.32032068223498e-05,"***"
"Little Cayman","PC4",1,4,226.702964064569,0,0.779574726892597,2,-110.739940042518,2.84577411383447,0.241017181158797,""
"Long Island","PC1",2,6,442.339602996284,-2.0928225562036,0.740085170838546,2,-221.158907942162,2.91283783996221,0.23306942230656,""
"Long Island","PC2",2,6,351.374619664429,-3.07575710462737,0.823156117503198,2,-172.572412426903,4.52031408005303,0.104334098838528,""
"Long Island","PC3",1,4,322.060389594341,0,0.862360481153901,2,-159.981299043747,11.2445521992512,0.00361640044653671,"**"
"Long Island","PC4",1,4,195.453667865255,0,0.767179348966758,2,-92.879736527331,6.46493929410275,0.039459926262599,"*"
