"island","variable","test","contrast1","contrast2","statistic","pvalue","signif"
"Abaco","PC2","nemenyi","coastal","coppice",0.426616375249341,0.951075609941442,""
"Abaco","PC2","nemenyi","coastal","mangrove",6.50040049525551,1.2815121534393e-05,"***"
"Abaco","PC2","nemenyi","coppice","mangrove",5.47077284601028,0.000322468838960255,"***"
"Bimini","PC1","nemenyi","coastal","coppice",2.6217193483574,0.152347020419381,""
"Bimini","PC1","nemenyi","coastal","mangrove",3.42247551852889,0.0410900354330188,"*"
"Bimini","PC1","nemenyi","coppice","mangrove",0.602670762155471,0.904759326958993,""
"Bimini","PC3","nemenyi","coastal","coppice",4.96590648873288,0.00129538718037014,"**"
"Bimini","PC3","nemenyi","coastal","mangrove",0.919090851181318,0.792427140173945,""
"Bimini","PC3","nemenyi","coppice","mangrove",4.93204174646677,0.00141559705771932,"**"
"Little Cayman","PC3","nemenyi","coastal","coppice",3.73081383703418,0.0226955114535402,"*"
"Little Cayman","PC3","nemenyi","coastal","mangrove",6.22815747157318,3.16274223352009e-05,"***"
"Little Cayman","PC3","nemenyi","coppice","mangrove",1.99723756774235,0.334507744708621,""
"Long Island","PC1","nemenyi","coastal","coppice",4.30908942405215,0.00653740215408616,"**"
"Long Island","PC1","nemenyi","coastal","mangrove",0.259217019927085,0.98164893515393,""
"Long Island","PC1","nemenyi","coppice","mangrove",3.93728160714578,0.0148404989155206,"*"
