"island","longitude","latitude","habitat","PC1","PC2","PC3","PC4"
"Abaco",-77.725588,26.908272,"mangrove",-5.49050829615555,1.35414549681573,-0.474137450981844,0.00834883083149058
"Abaco",-77.58002,26.901974,"coastal",1.86325651481995,0.0365178375898984,-0.447493883513407,0.00330837167844341
"Abaco",-77.576286,26.912775,"coppice",-1.67384885380033,-1.77929955081322,-0.0499294839247973,0.00124080590635221
"Abaco",-77.1784,26.104472,"coastal",1.18626204210773,2.04081301878727,-0.346811669708138,0.00217236799197727
"Abaco",-77.005543,26.325377,"mangrove",-9.03193053689868,-2.74604881254774,0.468734657904987,0.00771989303400141
"Abaco",-77.003854,26.31705,"coppice",0.996724209937569,0.516075473398432,-0.0267153604480364,-0.0118290817972703
"Abaco",-76.996839,26.325994,"coastal",7.60766168465482,0.31863683797977,0.177144082414976,-0.00082218612439145
"Bimini",-79.302184,25.585934,"coastal",5.75372566037346,-0.159293217261334,-0.250460822278019,0.000142016775826466
"Bimini",-79.301399,25.705249,"coastal",-3.18221689667548,1.66168563402567,-0.0459674533734035,0.00240424230687753
"Bimini",-79.3002,25.704172,"coppice",-1.35141302052015,-3.87856744029535,0.102743168172692,-0.00268070476247698
"Bimini",-79.270911,25.706629,"mangrove",3.36563991936407,0.624378572268621,0.156886170854521,-0.00208060571174428
"Cayman Brac",-79.86265,19.68784,"coastal",6.66060961300431,-2.5670192841662,0.0166117326309763,-0.000679774498670728
"Cayman Brac",-79.84407,19.69494,"mangrove",-1.09140736828222,4.36074326398789,0.0854709752368473,0.000143580958621194
"Cayman Brac",-79.78869,19.72092,"coppice",-4.51973438523705,-1.97929701251673,-0.0945656982495021,0.000430874510194569
"Eleuthera",-76.33474672,24.81462811,"coppice",3.26689981268347,-1.24042077030647,0.101779816763868,-0.00846324044198832
"Eleuthera",-76.30580242,24.81272936,"coastal",0.421641382757843,-3.51332493530827,-0.0567364322656717,0.000920967544802058
"Eleuthera",-76.29009171,24.79811727,"mangrove",2.18805530473993,0.751719655953061,0.395678912625886,-0.00547672590532771
"Eleuthera",-76.16164315,24.91285413,"coppice",-1.91359237052338,1.08682684450621,-0.497836298690455,-0.00921983913203334
"Eleuthera",-76.14915814,24.93347771,"coastal",-3.18625070880295,2.42700605955018,0.18806401590277,0.0217914709766846
"Little Cayman",-80.06602,19.69062,"coppice",0.802127226463618,-1.95685456957494,-0.0760470748472126,-0.00678963145374176
"Little Cayman",-80.02047,19.68647,"coastal",-6.69166680337323,-1.26146244088482,0.0658582679427663,0.00570530288410958
"Little Cayman",-79.98714,19.69861,"mangrove",6.50830055873634,2.80794477062133,-0.0129391035537792,-0.000969660724059833
"Long Island",-75.229859,23.473987,"mangrove",-1.28733490950802,1.93711827844613,-0.187951562010155,-0.00289535684485456
"Long Island",-75.206269,23.428201,"coastal",2.36860576703958,-0.903271279354044,0.02148213327891,0.00961730520936386
"Long Island",-75.188354,23.429152,"coppice",-4.62660882771231,0.505965076179911,0.104859663779617,-0.00698747200575699
"Long Island",-75.140756,23.38831,"coastal",3.6138637338238,-1.45208349329863,0.0475321050267682,0.00245569968562953
"North Andros",-77.89081955,24.83914585,"coastal",-2.18811933396742,-1.1235837238062,0.0397005377457423,-0.0059935111240396
"North Andros",-77.84284791,24.75163828,"coppice",-1.81151786032274,0.00124363570631587,-0.167759249304124,0.00235630119659197
"North Andros",-77.75398322,24.66438795,"mangrove",3.59967347486115,1.0101060792899,0.115252840402543,0.00327348893470295
"Ragged Island",-75.736405,22.176811,"coppice",3.28512167164755,-0.327376455605733,0.191051331069292,-0.00132665407245866
"Ragged Island",-75.731431,22.209745,"coastal",-0.641186074652378,-0.88782552755061,-0.129281894767394,-0.00328543734476515
"Ragged Island",-75.727624,22.204522,"mangrove",-2.9188479132899,1.57919232750727,-0.00342044864663093,0.00988253848459608
"Ragged Island",-75.726981,22.197293,"mangrove",-1.2209995140102,0.728511864989184,-0.0720701962514237,-0.0028268145076173
"South Andros",-77.60495919,24.20267534,"mangrove",-3.92534737939258,0.473423847585931,0.0477405158763641,-0.000538050852774319
"South Andros",-77.59360867,24.12892741,"coppice",6.11520359812553,-0.492545031800739,0.0349033800020324,0.0011510016215583
"South Andros",-77.54530896,24.07639677,"coastal",-0.793266383041882,-0.124818088482451,-0.088701661053465,-0.000390240436073541
