"island","variable","habitat_i","habitat_j","lon_i","lat_i","lon_j","lat_j","distance","U","pvalue","signif"
"Abaco","PC2","coastal","mangrove",-76.996839,26.325994,-77.005543,26.325377,871.692227607759,304,1.05783546830426e-08,"***"
"Abaco","PC2","coastal","mangrove",-77.1784,26.104472,-77.005543,26.325377,29956.6236996371,257,0.000693411149473441,"***"
"Abaco","PC2","coastal","mangrove",-77.58002,26.901974,-77.005543,26.325377,85759.275928542,84,0.000455684666210982,"***"
"Abaco","PC2","coppice","mangrove",-77.003854,26.31705,-77.005543,26.325377,937.858582112724,272,0.000106573397313426,"***"
"Abaco","PC2","coppice","mangrove",-77.576286,26.912775,-77.005543,26.325377,86407.637476795,95,0.0017434891576768,"**"
"Abaco","PC3","coastal","coppice",-76.996839,26.325994,-77.576286,26.912775,86929.0198453382,18,0.029599690926922,"*"
"Abaco","PC3","coastal","coppice",-77.1784,26.104472,-77.003854,26.31705,29308.2477147119,59,0.00227330495006504,"**"
"Abaco","PC3","coastal","coppice",-77.1784,26.104472,-77.576286,26.912775,97946.1156465796,6,0.00227330495006504,"**"
"Abaco","PC3","coastal","mangrove",-76.996839,26.325994,-77.005543,26.325377,871.692227607759,52,0.00162307001637761,"**"
"Abaco","PC3","coastal","mangrove",-77.1784,26.104472,-77.005543,26.325377,29956.6236996371,17,3.2052414689619e-06,"***"
"Bimini","PC1","coastal","mangrove",-79.301399,25.705249,-79.270911,25.706629,3063.76484182238,316,0.0123067343281735,"*"
"Bimini","PC2","coastal","mangrove",-79.302184,25.585934,-79.270911,25.706629,13734.7221244652,17,0.00138768217917498,"**"
"Bimini","PC3","coastal","coppice",-79.301399,25.705249,-79.3002,25.704172,169.462147462062,72,0.000884127314333264,"***"
"Bimini","PC3","coastal","coppice",-79.302184,25.585934,-79.3002,25.704172,13100.2258814079,16,0.000884127314333264,"***"
"Bimini","PC3","coppice","mangrove",-79.3002,25.704172,-79.270911,25.706629,2952.19798532594,176,0.00133831433096661,"**"
"Cayman Brac","PC1","coastal","coppice",-79.86265,19.68784,-79.78869,19.72092,8575.27099665008,200,0.0182074054036417,"*"
"Cayman Brac","PC1","coppice","mangrove",-79.78869,19.72092,-79.84407,19.69494,6479.24959710233,51,0.000467467190268778,"***"
"Cayman Brac","PC2","coastal","mangrove",-79.86265,19.68784,-79.84407,19.69494,2100.68155773334,56,0.00608580118542879,"**"
"Cayman Brac","PC3","coastal","coppice",-79.86265,19.68784,-79.78869,19.72092,8575.27099665008,64,0.00943197177456957,"**"
"Cayman Brac","PC3","coastal","mangrove",-79.86265,19.68784,-79.84407,19.69494,2100.68155773334,18,5.61759301447182e-06,"***"
"Cayman Brac","PC3","coppice","mangrove",-79.78869,19.72092,-79.84407,19.69494,6479.24959710233,54,0.000720046565035785,"***"
"Little Cayman","PC1","coastal","coppice",-80.02047,19.68647,-80.06602,19.69062,4798.02422298074,160,0.00925733393183879,"**"
"Little Cayman","PC2","coastal","mangrove",-80.02047,19.68647,-79.98714,19.69861,3744.11158710271,226,0.000779499122178377,"***"
"Little Cayman","PC2","coppice","mangrove",-80.06602,19.69062,-79.98714,19.69861,8317.52691630123,186,1.97227280280181e-06,"***"
"Little Cayman","PC3","coastal","coppice",-80.02047,19.68647,-80.06602,19.69062,4798.02422298074,168,0.00265277039521496,"**"
"Little Cayman","PC3","coastal","mangrove",-80.02047,19.68647,-79.98714,19.69861,3744.11158710271,251,5.94101947499951e-06,"***"
"Long Island","PC3","coastal","coppice",-75.140756,23.38831,-75.188354,23.429152,6642.92386298318,55,0.0343789302459194,"*"
"Long Island","PC3","coastal","mangrove",-75.140756,23.38831,-75.229859,23.473987,13151.1045941974,40,0.00823760315036349,"**"
"Long Island","PC4","coastal","mangrove",-75.206269,23.428201,-75.229859,23.473987,5614.55080822794,26,0.029421379535796,"*"
"Long Island","PC1","coastal","coppice",-75.140756,23.38831,-75.188354,23.429152,6642.92386298318,186,0.00297153109031999,"**"
"Long Island","PC1","coppice","mangrove",-75.188354,23.429152,-75.229859,23.473987,6530.04188091417,28,0.0015382161000683,"**"
