island,longitude,latitude,habitat,wPC1,wPC2,wPC3,wPC4
Abaco,-77.725588,26.908272,mangrove,1.0048742265163648,-0.11580844997413192,0.06330683719196058,-1.2548693634524695
Abaco,-77.58002,26.901974,coastal,0.15667663281494804,-0.5314247506795109,-0.08644389497304569,-2.034165773699922
Abaco,-77.576286,26.912775,coppice,-0.08141907043705023,-0.03397767280330397,-0.6310306632064645,-0.6326894640072935
Abaco,-77.1784,26.104472,coastal,0.2955104076871062,0.09077279909924768,0.9873499760799032,-0.15803529745841333
Abaco,-77.005543,26.325377,mangrove,-0.31242696173139856,1.2237901101957729,-0.8983904327338212,0.2077332172458383
Abaco,-77.003854,26.31705,coppice,0.09366208542167181,-0.31372978279745634,-0.11986584539312947,0.4822297628288047
Abaco,-76.996839,26.325994,coastal,-0.3337895652245623,-0.748165698702582,0.20128328385828922,0.5344154464726085
Bimini,-79.301399,25.705249,coastal,0.39888080155711386,1.446445749236286e-4,0.3040025199854258,-0.04859436032503889
Bimini,-79.3002,25.704172,coppice,-0.2988854837565861,0.511279430056068,-0.6573499066860299,0.09743832653211018
Bimini,-79.270911,25.706629,mangrove,-0.46561771140046565,-0.4774641379255209,0.04605520893416641,-2.3296548989691496e-4
Cayman Brac,-79.86265,19.68784,coastal,0.48312243950990863,-0.5225824691873118,-0.7808762677471005,0.4431604091351464
Cayman Brac,-79.84407,19.69494,mangrove,0.21932239974505757,0.4530127588761798,0.810084958151848,-0.015320590700262324
Cayman Brac,-79.78869,19.72092,coppice,-0.6097398549063671,0.00764000760636767,-0.1143500151319394,-0.3548308941734854
Eleuthera,-76.33474672,24.81462811,coppice,0.16977989446235262,-0.8550836204746721,-0.042004540246122365,0.08588261277018445
Eleuthera,-76.30580242,24.81272936,coastal,0.5025327245571654,-0.6525085409391785,0.5642006740739207,-0.5865112890255583
Eleuthera,-76.29009171,24.79811727,mangrove,0.06743364929833097,-0.6943002110006884,-0.11908197792226402,0.7175390100701257
Eleuthera,-76.16164315,24.91285413,coppice,-0.3525241216665656,0.5953903845745466,-0.5439679232238392,-0.5351480435839704
Eleuthera,-76.14915814,24.93347771,coastal,-0.21535354304852877,1.2201839344738132,0.29746410162487247,0.39559031032902464
Little Cayman,-80.06602,19.69062,coppice,-0.6213657373032118,0.6144201970474429,-0.17925758673466935,-0.4039103207418019
Little Cayman,-80.02047,19.68647,coastal,0.3945176694284995,0.35524073099713915,0.742632539937242,0.17450052607074248
Little Cayman,-79.98714,19.69861,mangrove,0.046849279209628066,-0.8382584244700426,-0.6546038836323176,0.11752593160618761
Long Island,-75.229859,23.473987,mangrove,-0.3900499277912644,0.21713370099223386,0.5413224822273501,0.5354124493808026
Long Island,-75.206269,23.428201,coastal,0.03752726583745093,-0.8065048258897536,0.015106599837037517,-0.3263838349130031
Long Island,-75.188354,23.429152,coppice,0.8935129500004051,0.01803910553240452,0.03498555715293658,-0.1610078428373837
Long Island,-75.140756,23.38831,coastal,-0.40814012620637957,0.29941675456781275,-0.5115245620338408,-0.13367712408220117
North Andros,-77.89081955,24.83914585,coastal,-0.15182718733894646,-0.07439911791247557,-0.10437974165377921,-0.9567812592108318
North Andros,-77.84284791,24.75163828,coppice,0.11163239600313243,0.8597542514399369,-0.25786704928244814,0.6205442053078333
North Andros,-77.75398322,24.66438795,mangrove,0.036175312202232524,-0.7068196201747152,0.3260221118426046,0.3026133485126987
Ragged Island,-75.736405,22.176811,coppice,0.2690642372867526,-0.4402004319559263,0.08822146213321616,-0.3598024826466006
Ragged Island,-75.731431,22.209745,coastal,-0.049310521446915424,-0.07608040264000576,0.22085066044850754,0.02873387188858953
Ragged Island,-75.727624,22.204522,mangrove,-0.245779874986036,0.2726142595691636,-0.11809308793863055,0.9329839643897341
Ragged Island,-75.726981,22.197293,mangrove,-0.09865363191377907,0.7494730187381948,-0.5882432772407246,-0.6357160140275634
South Andros,-77.60495919,24.20267534,mangrove,0.38356205669987165,0.492281347786592,-0.3333502541143777,0.471764899464212
South Andros,-77.59360867,24.12892741,coppice,0.06659011524381069,-0.21074701662060502,0.35817266694018374,-0.017922780531957592
South Andros,-77.54530896,24.07639677,coastal,-0.5202055717592755,-0.4010653023853659,0.07766490469108786,-0.5499873768782927
