island,chisq,df,pvalue
Abaco,49.10184911448315,20,2.973921445207614e-4
Bimini,32.234875839683696,20,0.040858989785012303
Cayman Brac,37.08802458931197,20,0.01142083796009466
Eleuthera,61.00470933006049,20,4.97285836753619e-6
Little Cayman,33.48457136880847,20,0.029830259474098036
Long Island,29.63264347832438,20,0.07602885333615603
North Andros,41.08399324338213,20,0.0036338034892089985
Ragged Island,26.812834598314158,20,0.14061235511493334
South Andros,46.38294359068211,20,7.139725144852673e-4
