island,n,score,pvalue, 
Abaco,86,0.6651162790697674,1.098934276910768e-10,***
Bimini,67,0.6597014925373135,1.6030649474529923e-8,***
Cayman Brac,50,0.748,8.15862932768141e-10,***
Eleuthera,56,0.4428571428571429,0.05132796135589701,
Little Cayman,45,0.7599999999999999,1.2801693038966278e-9,***
Long Island,53,0.5622641509433962,4.1960590058742753e-4,***
North Andros,28,0.35000000000000003,0.46448668639438995,
Ragged Island,50,0.376,0.28736866245783843,
South Andros,31,0.5612903225806452,0.004046169953206391,**
