island,n,ptest,ntest,pbinom,prandom
Abaco,86,0.2,17,0.001874823404086845,0
Bimini,67,0.2,13,0.03465483468531794,0
Cayman Brac,50,0.2,10,0.003403952649494446,0
Eleuthera,56,0.2,11,0.12208504801097397,0.009000000000000008
Little Cayman,45,0.2,9,0.008281257938322462,0
Long Island,53,0.2,10,0.07656353198191335,0.0030000000000000027
North Andros,28,0.2,5,0.2098765432098766,0.22299999999999998
Ragged Island,50,0.2,10,0.07656353198191335,0.015000000000000013
South Andros,31,0.2,6,0.10013717421124824,0
