island,expvar,PC1,PC2,PC3,PC4
Abaco,0.9064099702327144,0.4003959025178042,0.27731831195362877,0.14921930778469278,0.07947644797658866
Bimini,0.9191556476784682,0.5301944482420845,0.17097435258338195,0.16561899968809182,0.052367847164909984
Cayman Brac,0.8882427749582756,0.4382908609055904,0.18959495936198373,0.15532684333174296,0.10503011135895855
Eleuthera,0.9255810993856475,0.4861762000862243,0.23508783093506236,0.1378664131906384,0.0664506551737224
Little Cayman,0.9072719410363913,0.441250918646762,0.21187869964813477,0.17603239155173914,0.07810993118975537
Long Island,0.9160508445791007,0.5005081437586696,0.21496281824595925,0.15232227533015388,0.048257607244317956
North Andros,0.9520522831866496,0.48497951983555404,0.23656406810756495,0.1688042415005641,0.06170445374296654
Ragged Island,0.9074328995111847,0.48297431719531353,0.22626919929524797,0.12661970469907893,0.071569678321544275
South Andros,0.937136784493166,0.5587280148501459,0.1715188056298323,0.15111872193118386,0.055771242082003854
All islands,0.915390022989115,0.4824039826387576,0.1894171342398394,0.16672580633235506,0.07684309977816291
